country,year,disease_name,disease_category,prevalence_rate,incidence_rate,mortality_rate,age_group,gender,population_affected,healthcare_access,doctors_per_1000,hospital_beds_per_1000,treatment_type,average_treatment_cost_usd,availability_of_vaccines_treatment,recovery_rate,improvement_in_5_years,per_capita_income_usd,education_index,urbanization_rate
Nigeria,2001,Malaria,Infectious,19.59,10.72,8.73,19-35,Male,549182,64.47,2.18,7.61,Therapy,33421,No,50.62,9.32,81396,0.65,39.82
Nigeria,2012,Diabetes,Infectious,14.07,13.55,6.8,61+,Male,664546,90.69,4.05,9.08,Surgery,38640,Yes,64.8,1.5,38925,0.49,39.95
Russia,2006,Tuberculosis,Chronic,1.54,13.24,5.68,0-18,Other,82666,95.7,1.98,9.19,Surgery,14747,Yes,93.56,4.24,78630,0.4,57.5
Turkey,2005,Influenza,Chronic,17.92,10.46,5.65,19-35,Other,236030,59.98,3.48,7.55,Therapy,4609,No,65.42,7.23,42185,0.9,27.21
France,2019,Leprosy,Neurological,7.52,8.52,2.4,19-35,Other,34348,58.25,2.52,1.02,Medication,38782,Yes,52.87,0.32,9278,0.49,73.59
India,2015,Influenza,Metabolic,16.09,0.33,1.82,0-18,Male,774341,78.79,4.0,3.31,Surgery,42636,No,63.0,1.44,68607,0.84,79.89
UK,2003,Alzheimer's Disease,Autoimmune,4.1,11.08,9.62,0-18,Other,320266,64.56,2.01,1.68,Medication,23045,No,69.4,0.16,90103,0.85,41.44
Brazil,2024,Diabetes,Autoimmune,1.64,3.79,4.79,19-35,Male,675910,63.95,3.32,1.33,Surgery,16805,No,72.95,8.87,37649,0.61,81.23
Italy,2022,Cancer,Chronic,19.07,0.58,6.04,36-60,Other,53938,62.53,1.98,9.42,Therapy,41828,No,65.16,8.42,75850,0.88,58.98
USA,2014,Hypertension,Cardiovascular,5.59,2.85,9.8,61+,Other,193910,88.53,4.3,3.71,Therapy,1476,No,88.54,2.94,80871,0.51,34.16
China,2014,Malaria,Genetic,2.22,8.76,9.22,61+,Male,23380,76.37,1.54,2.93,Surgery,15297,No,76.08,8.18,93459,0.41,63.17
South Africa,2011,Alzheimer's Disease,Metabolic,16.92,7.94,4.27,0-18,Female,655217,81.04,4.55,2.16,Therapy,20196,Yes,70.3,0.0,10635,0.89,42.74
Italy,2018,Malaria,Neurological,15.31,6.14,8.28,19-35,Female,794955,53.16,3.55,7.49,Surgery,49124,Yes,93.88,9.27,86501,0.68,43.14
Germany,2010,Diabetes,Autoimmune,12.2,10.27,0.79,36-60,Male,495855,97.66,1.88,7.49,Surgery,40158,Yes,78.65,9.52,94989,0.74,44.68
South Korea,2012,Parkinson's Disease,Viral,12.58,13.59,0.61,19-35,Female,195599,64.1,0.91,9.79,Therapy,26620,No,50.32,5.37,23132,0.64,75.88
Australia,2005,Polio,Autoimmune,7.0,1.39,3.84,19-35,Other,962153,59.39,4.52,2.63,Vaccination,47349,No,84.22,3.65,72572,0.83,26.52
Japan,2006,Measles,Autoimmune,19.26,2.95,6.88,0-18,Male,931896,70.36,0.69,4.5,Therapy,49494,Yes,73.39,7.32,90414,0.51,65.63
France,2003,Malaria,Parasitic,2.44,7.95,1.97,36-60,Other,212128,57.09,4.39,4.71,Surgery,14022,Yes,91.56,4.78,69412,0.79,65.85
Australia,2017,Hepatitis,Neurological,1.57,0.21,3.87,36-60,Male,125737,55.55,1.88,4.59,Medication,15759,No,95.59,3.65,56725,0.52,77.52
Turkey,2010,Dengue,Respiratory,13.58,13.52,0.65,36-60,Male,946182,83.38,0.95,2.31,Vaccination,14325,No,58.31,9.21,5816,0.59,65.42
India,2001,Rabies,Cardiovascular,1.84,7.94,4.01,61+,Other,966348,94.77,1.38,1.18,Surgery,29955,Yes,56.07,6.11,11078,0.48,80.64
Argentina,2009,Cancer,Genetic,6.66,12.53,1.66,19-35,Female,281048,88.61,3.53,9.27,Therapy,46971,Yes,79.27,8.34,46300,0.59,70.67
Australia,2014,Hepatitis,Chronic,7.18,1.05,8.62,19-35,Female,946894,64.82,0.52,8.54,Surgery,45861,Yes,92.85,6.26,62703,0.55,80.69
Argentina,2003,Diabetes,Metabolic,8.01,9.85,9.96,61+,Male,545832,83.38,3.36,2.81,Therapy,34565,No,55.3,9.77,40997,0.51,37.89
Japan,2024,Rabies,Chronic,0.74,3.41,0.66,19-35,Female,657457,90.39,2.75,4.73,Therapy,17227,Yes,79.93,8.99,95512,0.42,63.94
Germany,2011,COVID-19,Cardiovascular,7.78,11.48,8.48,0-18,Male,181903,98.78,3.26,7.28,Vaccination,39000,Yes,90.94,4.92,84837,0.88,68.15
Indonesia,2009,Measles,Bacterial,1.92,11.9,0.65,19-35,Other,609313,91.64,2.92,5.98,Medication,20862,No,50.95,4.97,1107,0.49,28.94
Brazil,2020,HIV/AIDS,Infectious,14.33,1.87,9.56,0-18,Other,848910,67.25,2.26,2.8,Surgery,19191,No,54.45,6.42,19674,0.64,21.62
Mexico,2013,Malaria,Neurological,18.59,8.81,3.13,61+,Other,19431,89.07,1.89,8.14,Vaccination,46105,No,87.97,0.54,48458,0.48,76.22
France,2008,Cancer,Infectious,7.53,7.96,6.57,36-60,Other,579268,69.75,2.26,3.77,Therapy,508,No,65.46,0.31,82461,0.79,61.17
Germany,2014,Zika,Infectious,17.99,11.42,2.58,19-35,Female,830313,53.13,0.93,4.14,Surgery,18763,Yes,86.7,5.34,8439,0.57,63.68
Argentina,2006,Hepatitis,Chronic,8.25,0.48,9.75,0-18,Female,86323,54.71,4.1,5.79,Vaccination,43824,Yes,50.81,2.7,32820,0.79,76.62
Turkey,2013,Malaria,Respiratory,14.37,9.91,6.09,36-60,Male,486784,67.05,2.02,1.84,Medication,26704,Yes,80.0,5.65,37470,0.63,32.96
Brazil,2019,Dengue,Metabolic,2.67,4.21,1.98,36-60,Male,340154,79.79,1.51,9.44,Therapy,23066,No,80.72,3.08,61392,0.86,40.1
Japan,2014,Influenza,Parasitic,16.3,5.1,2.75,36-60,Female,921352,95.3,2.08,8.88,Therapy,13620,No,98.17,6.32,43410,0.51,53.12
Mexico,2012,Polio,Genetic,10.64,1.56,4.72,0-18,Male,517848,88.93,3.75,3.77,Medication,44744,No,80.57,1.3,32257,0.47,58.3
UK,2000,HIV/AIDS,Autoimmune,7.67,3.08,4.85,0-18,Other,847443,96.31,3.15,2.69,Therapy,117,Yes,52.28,3.96,62819,0.52,47.12
China,2023,Hepatitis,Infectious,11.76,10.96,5.35,36-60,Other,72607,87.71,1.79,0.86,Medication,49811,Yes,58.09,9.58,45989,0.83,40.36
Canada,2011,Influenza,Cardiovascular,14.52,6.62,7.96,0-18,Other,86992,64.64,2.63,8.4,Vaccination,5547,Yes,88.85,2.56,70209,0.61,66.44
Mexico,2001,Asthma,Cardiovascular,6.18,10.48,4.68,61+,Male,996827,79.03,3.32,2.31,Vaccination,18327,No,91.62,4.47,57946,0.58,60.84
Nigeria,2006,Cholera,Neurological,17.82,12.49,2.34,19-35,Other,934126,60.91,1.83,2.35,Vaccination,34067,No,66.13,7.89,70262,0.78,53.54
China,2014,HIV/AIDS,Infectious,6.35,9.01,0.93,36-60,Other,410730,92.61,4.3,6.49,Surgery,40331,No,98.08,2.09,74627,0.75,57.4
India,2008,Cancer,Parasitic,7.93,13.06,9.06,0-18,Other,133717,80.69,4.25,3.71,Medication,3412,No,60.29,7.43,53690,0.43,67.58
Australia,2024,Influenza,Bacterial,15.85,11.04,7.32,19-35,Male,612949,56.73,4.54,2.62,Vaccination,21716,Yes,71.03,7.51,43165,0.71,89.29
Turkey,2011,Diabetes,Metabolic,1.95,6.53,0.24,19-35,Male,392751,92.5,4.4,7.1,Vaccination,21729,No,75.94,6.12,89009,0.82,79.42
Australia,2016,Zika,Chronic,14.68,4.58,2.87,0-18,Female,66233,74.01,1.97,4.39,Therapy,5208,No,90.66,5.96,38278,0.63,55.18
France,2014,Dengue,Infectious,11.91,7.69,3.2,19-35,Female,31467,66.21,3.59,0.8,Therapy,39331,No,55.47,8.96,29163,0.76,38.22
Brazil,2006,Ebola,Metabolic,19.34,4.22,3.08,36-60,Male,208996,87.05,1.57,3.07,Vaccination,13639,Yes,67.28,4.81,86241,0.53,74.12
India,2023,Zika,Neurological,11.54,11.06,8.01,19-35,Other,352670,72.71,1.87,7.12,Medication,6062,No,56.0,3.02,37137,0.65,74.64
Saudi Arabia,2019,Hepatitis,Viral,1.53,9.24,3.16,61+,Other,132097,78.69,3.49,0.86,Therapy,30391,Yes,55.86,4.7,40094,0.82,49.1
Indonesia,2007,Hypertension,Infectious,10.04,4.02,9.46,61+,Female,354821,69.28,3.87,4.51,Therapy,49852,Yes,74.89,7.22,45261,0.63,81.28
Brazil,2019,Hypertension,Viral,12.2,6.42,7.95,0-18,Male,74833,54.8,3.21,7.89,Surgery,4953,Yes,92.56,0.17,1030,0.46,76.22
Australia,2015,Tuberculosis,Parasitic,18.66,2.68,6.46,36-60,Other,175963,82.87,1.71,6.65,Therapy,20770,No,69.63,3.43,91910,0.82,21.98
Mexico,2007,Asthma,Autoimmune,15.56,3.76,7.93,61+,Female,575119,78.3,2.34,3.57,Medication,2366,No,86.36,7.36,91686,0.62,67.25
Argentina,2008,Tuberculosis,Chronic,19.01,3.7,1.35,0-18,Other,233281,55.25,1.09,3.27,Surgery,14281,Yes,82.64,1.75,14347,0.83,74.04
South Africa,2007,Cancer,Metabolic,17.09,8.06,7.58,61+,Other,714337,89.3,4.69,0.81,Vaccination,21594,Yes,62.57,5.52,47489,0.74,55.45
India,2007,Tuberculosis,Cardiovascular,13.46,2.17,2.8,36-60,Male,658667,67.57,4.22,5.92,Vaccination,12632,Yes,55.33,6.95,96272,0.77,86.9
Nigeria,2008,Alzheimer's Disease,Viral,17.09,10.32,2.56,61+,Female,75853,79.11,3.95,0.74,Vaccination,40026,No,68.17,1.03,62059,0.79,38.5
Canada,2002,Tuberculosis,Neurological,6.74,10.16,9.88,19-35,Male,969528,50.83,4.94,7.26,Vaccination,44944,No,79.2,4.6,42269,0.6,27.82
Mexico,2011,Measles,Respiratory,9.02,14.6,9.56,36-60,Other,353082,70.73,1.17,7.74,Surgery,23447,Yes,70.07,1.61,20068,0.75,37.18
Russia,2018,Hepatitis,Parasitic,19.44,2.31,6.21,0-18,Other,121701,70.31,4.23,3.79,Therapy,31741,No,79.34,4.29,801,0.68,54.6
Australia,2009,Tuberculosis,Metabolic,19.93,12.61,6.22,36-60,Other,865757,56.6,4.71,5.57,Vaccination,25324,No,65.27,7.04,60617,0.48,26.05
Indonesia,2011,Hypertension,Parasitic,5.95,10.53,7.17,19-35,Female,351127,78.62,0.87,3.17,Therapy,10794,Yes,64.88,6.8,13075,0.58,80.05
South Korea,2018,Tuberculosis,Parasitic,18.4,7.94,3.66,19-35,Other,179172,67.33,1.32,4.91,Medication,21942,Yes,88.57,3.47,43619,0.49,62.27
China,2006,Hepatitis,Metabolic,19.21,13.06,2.5,19-35,Other,935414,51.76,3.89,7.11,Vaccination,4675,Yes,94.23,0.99,20111,0.7,53.48
South Africa,2017,Diabetes,Metabolic,18.61,12.07,4.75,19-35,Other,781724,59.12,1.35,8.34,Vaccination,32566,Yes,52.06,2.56,77691,0.6,70.07
India,2021,Tuberculosis,Autoimmune,6.28,3.6,3.03,61+,Female,476941,59.62,3.99,1.03,Therapy,36861,No,86.98,1.0,11634,0.65,40.81
Russia,2021,Dengue,Viral,6.27,11.88,2.85,36-60,Female,86531,75.04,4.42,7.59,Vaccination,31893,No,77.17,2.52,13878,0.74,33.16
Argentina,2003,Asthma,Bacterial,8.63,12.13,6.98,0-18,Male,76796,87.2,3.08,8.06,Surgery,10256,No,63.02,1.02,9955,0.61,73.15
UK,2024,Zika,Respiratory,0.11,5.47,4.83,61+,Female,325010,99.74,2.72,0.89,Surgery,30939,Yes,92.27,7.91,86651,0.54,63.03
USA,2012,Leprosy,Metabolic,3.19,3.71,1.75,19-35,Female,710310,66.93,1.44,2.09,Surgery,671,No,57.94,0.67,39775,0.76,48.12
Nigeria,2004,Cancer,Autoimmune,14.45,3.52,5.31,61+,Other,135202,57.24,0.75,1.46,Medication,13453,No,55.08,6.53,41526,0.61,28.58
Saudi Arabia,2006,Hepatitis,Neurological,3.46,2.82,2.72,19-35,Male,258907,84.85,4.12,2.0,Surgery,6926,Yes,71.9,6.42,34711,0.8,60.61
Indonesia,2015,Dengue,Autoimmune,1.33,12.36,1.19,36-60,Male,936094,62.08,0.58,1.0,Therapy,6795,Yes,80.94,2.33,14196,0.77,37.46
Japan,2009,COVID-19,Genetic,16.22,10.93,3.39,19-35,Male,604686,53.22,1.91,8.01,Vaccination,19401,No,86.51,8.73,76197,0.89,49.76
Indonesia,2021,Malaria,Parasitic,6.09,2.72,2.19,0-18,Other,128751,81.79,1.47,1.47,Vaccination,34769,Yes,93.49,1.71,71579,0.85,45.76
UK,2022,Asthma,Autoimmune,11.43,13.64,5.24,19-35,Female,454115,59.85,0.82,9.12,Surgery,10556,No,61.33,2.26,58638,0.76,22.38
Mexico,2019,Zika,Autoimmune,15.46,5.05,0.32,19-35,Female,956867,96.66,4.84,8.58,Vaccination,8327,Yes,96.33,6.43,59730,0.53,35.65
France,2019,COVID-19,Metabolic,2.22,4.7,5.45,19-35,Other,62045,57.46,4.61,2.03,Surgery,9436,No,94.94,9.42,25229,0.58,21.44
Indonesia,2000,Dengue,Autoimmune,5.57,8.73,8.98,36-60,Female,77886,62.2,2.96,9.57,Medication,15807,No,86.73,10.0,44751,0.67,49.86
South Korea,2024,Zika,Cardiovascular,12.85,5.25,5.64,36-60,Other,790378,66.83,4.37,0.57,Medication,44064,Yes,76.57,9.09,51043,0.75,62.85
Brazil,2014,Parkinson's Disease,Infectious,9.58,9.76,3.13,61+,Female,126161,54.91,2.79,4.47,Therapy,32622,No,90.87,3.22,69922,0.75,74.73
Argentina,2005,Asthma,Genetic,10.39,4.73,9.8,0-18,Female,858256,74.95,2.81,5.28,Therapy,16340,Yes,94.34,4.73,75850,0.76,68.65
South Korea,2007,Hepatitis,Metabolic,15.4,0.31,7.8,0-18,Other,738243,67.34,1.43,1.3,Medication,3830,No,70.78,9.87,46727,0.6,58.39
Argentina,2006,Dengue,Infectious,7.96,9.64,3.74,36-60,Other,988757,55.4,1.6,1.36,Surgery,24134,No,50.7,2.94,32930,0.57,87.83
Brazil,2006,Measles,Metabolic,11.74,11.86,1.84,19-35,Male,445453,60.73,1.39,5.91,Vaccination,15976,No,55.78,3.0,84701,0.49,77.46
USA,2008,Alzheimer's Disease,Autoimmune,3.41,8.6,3.41,0-18,Other,309924,50.91,1.06,3.17,Therapy,47669,No,98.5,9.38,14799,0.48,81.42
Japan,2008,Dengue,Neurological,7.77,1.69,2.6,61+,Male,477584,70.84,4.84,1.32,Therapy,14210,Yes,55.57,4.0,17447,0.61,57.45
Nigeria,2002,Measles,Cardiovascular,1.75,14.92,8.66,0-18,Other,999186,99.57,1.58,6.43,Vaccination,23552,Yes,64.04,5.17,23295,0.79,63.19
South Africa,2011,Hypertension,Chronic,18.29,13.28,9.46,61+,Male,913524,55.11,2.13,1.76,Medication,34172,Yes,85.99,2.56,85307,0.45,86.27
Australia,2002,Hepatitis,Bacterial,2.29,3.1,2.23,61+,Male,360608,51.62,4.95,8.89,Medication,46132,No,94.37,0.15,40771,0.47,79.34
Australia,2008,Cancer,Viral,1.38,4.06,6.16,36-60,Male,762604,88.08,1.41,3.13,Surgery,28093,Yes,76.91,4.98,35368,0.41,34.36
Nigeria,2013,Tuberculosis,Metabolic,4.54,0.6,9.16,19-35,Other,732317,90.39,0.66,2.8,Therapy,8058,No,71.75,1.14,91960,0.56,56.56
Turkey,2002,Diabetes,Metabolic,17.33,3.18,1.28,0-18,Other,261204,95.2,4.09,6.93,Therapy,18327,Yes,63.74,7.38,85708,0.67,52.67
Saudi Arabia,2000,Diabetes,Neurological,17.79,11.77,5.8,0-18,Female,507443,73.3,3.14,6.06,Surgery,47962,Yes,77.94,8.81,84247,0.74,52.31
Turkey,2007,Malaria,Autoimmune,19.22,4.89,6.85,19-35,Other,419900,79.17,1.48,4.14,Medication,16338,No,83.37,5.26,3637,0.82,62.99
Mexico,2020,Hepatitis,Genetic,3.54,6.03,0.35,61+,Male,432312,52.92,4.62,6.15,Surgery,18020,Yes,83.78,7.37,70240,0.83,21.67
Italy,2010,Asthma,Neurological,18.82,7.89,0.72,36-60,Female,110173,72.91,4.25,0.69,Vaccination,45306,Yes,65.1,2.88,73008,0.87,45.31
Australia,2012,Malaria,Bacterial,12.41,13.89,5.49,0-18,Other,628090,56.26,2.23,6.65,Vaccination,29445,Yes,64.85,9.24,84617,0.83,29.35
South Africa,2016,Influenza,Viral,2.0,5.97,9.59,19-35,Female,813401,96.63,4.75,2.88,Vaccination,38967,No,86.56,8.52,53232,0.55,72.62
China,2009,Cancer,Respiratory,14.48,13.32,1.37,0-18,Male,936284,82.56,2.41,5.01,Therapy,30366,Yes,92.96,6.76,16201,0.66,40.62
Indonesia,2001,Influenza,Viral,16.11,13.84,7.36,19-35,Other,159857,54.52,2.52,5.58,Surgery,43403,Yes,62.59,5.73,48566,0.75,27.38
Germany,2009,Dengue,Respiratory,5.31,13.74,0.3,19-35,Male,656215,90.46,0.72,3.58,Surgery,1504,No,65.61,8.86,67651,0.78,76.88
Mexico,2006,Alzheimer's Disease,Bacterial,7.57,1.92,9.42,19-35,Male,665669,78.14,4.9,7.97,Surgery,28489,Yes,96.03,5.76,68852,0.43,20.83
Italy,2011,Hepatitis,Genetic,3.31,4.13,9.61,61+,Male,27360,55.16,2.67,4.61,Vaccination,26017,No,60.53,8.41,71332,0.63,44.84
Argentina,2015,Measles,Viral,5.52,12.31,4.72,0-18,Other,715406,77.68,1.63,7.92,Surgery,10986,No,64.96,0.37,4041,0.76,39.8
India,2002,Measles,Viral,8.54,9.41,7.88,0-18,Other,417307,68.55,3.96,1.07,Medication,28495,Yes,96.86,1.43,740,0.59,77.43
Australia,2012,Alzheimer's Disease,Infectious,16.59,7.38,2.99,0-18,Female,707840,63.38,0.88,0.82,Medication,36931,No,68.16,4.67,75016,0.6,57.0
Russia,2024,Zika,Infectious,13.79,8.67,4.3,36-60,Female,722881,89.56,2.24,9.68,Vaccination,41740,No,72.71,4.83,36605,0.89,55.95
Nigeria,2010,Cancer,Genetic,14.31,11.35,1.7,61+,Female,109736,63.88,0.99,2.83,Vaccination,31025,No,63.54,6.81,12495,0.43,77.35
Mexico,2015,Leprosy,Infectious,10.59,12.74,1.62,61+,Male,499264,96.16,0.88,7.49,Medication,27738,No,92.46,7.23,41546,0.45,28.99
China,2017,Cholera,Respiratory,15.84,2.96,9.81,36-60,Female,840092,63.52,0.61,1.61,Surgery,10066,Yes,57.91,8.92,29466,0.69,77.59
USA,2011,Tuberculosis,Parasitic,3.87,3.66,8.38,0-18,Male,751098,52.97,4.84,8.07,Medication,39914,Yes,94.06,6.84,8579,0.6,51.03
Germany,2016,Rabies,Bacterial,14.44,9.91,4.8,61+,Male,769599,76.28,2.08,8.97,Vaccination,32816,No,60.93,8.52,9688,0.42,51.95
Nigeria,2023,Measles,Viral,4.45,14.14,5.73,61+,Female,563168,89.35,1.27,4.98,Surgery,29580,No,71.84,8.82,53054,0.53,71.06
Argentina,2023,Rabies,Neurological,6.74,12.28,2.17,36-60,Male,720846,98.99,3.14,5.61,Therapy,22007,No,87.62,6.99,28000,0.74,69.82
UK,2016,Influenza,Viral,2.38,7.66,2.55,61+,Male,362756,70.56,0.51,0.82,Therapy,41937,Yes,55.13,5.41,42249,0.58,44.62
Argentina,2023,Parkinson's Disease,Bacterial,1.8,2.0,2.79,0-18,Male,519272,98.38,4.74,4.22,Medication,6619,No,88.26,4.17,49744,0.71,39.1
France,2009,Cancer,Bacterial,4.31,9.65,0.51,61+,Female,37734,59.64,1.1,3.09,Surgery,43397,No,77.76,7.48,653,0.69,27.21
South Korea,2000,Hepatitis,Chronic,17.42,5.54,2.91,19-35,Female,802954,81.04,2.18,6.49,Surgery,14590,No,93.7,4.35,85094,0.43,51.99
Australia,2004,Dengue,Chronic,16.05,8.16,2.66,61+,Male,449615,54.18,4.76,4.34,Vaccination,6920,No,97.23,1.98,41248,0.43,62.83
Indonesia,2009,Hypertension,Metabolic,2.83,11.28,0.14,0-18,Male,912972,96.53,0.92,4.52,Therapy,45928,Yes,98.89,6.95,25515,0.69,83.71
China,2011,Rabies,Autoimmune,8.53,6.09,7.63,36-60,Female,765143,63.99,3.5,6.3,Therapy,35690,Yes,72.42,5.17,35648,0.59,41.54
South Africa,2014,COVID-19,Viral,12.46,10.59,0.54,0-18,Other,185781,92.45,0.6,2.19,Medication,14961,No,63.93,9.19,88465,0.5,39.06
South Korea,2008,Hypertension,Respiratory,9.39,11.93,3.89,0-18,Other,362163,86.97,3.68,1.5,Medication,28074,No,90.12,1.75,12311,0.4,74.02
Brazil,2017,Alzheimer's Disease,Bacterial,16.63,12.57,7.51,0-18,Other,206537,85.18,1.32,4.59,Medication,33224,Yes,66.78,6.9,82712,0.76,38.54
Japan,2008,Cancer,Genetic,10.34,12.7,6.54,0-18,Female,589818,63.07,1.18,5.43,Surgery,24168,No,80.33,1.44,91295,0.47,33.04
India,2014,Malaria,Cardiovascular,5.07,0.12,5.21,19-35,Other,316314,70.45,2.41,7.87,Surgery,10295,Yes,83.85,7.59,42166,0.72,84.91
South Korea,2007,Tuberculosis,Genetic,11.91,5.56,7.49,36-60,Other,824794,84.14,0.8,6.07,Vaccination,20378,No,98.06,7.37,70862,0.73,21.91
Canada,2019,COVID-19,Genetic,18.94,1.33,4.75,19-35,Other,163034,85.45,1.12,5.15,Therapy,2623,No,65.75,5.26,81117,0.41,57.45
China,2003,Diabetes,Parasitic,8.69,4.95,9.47,19-35,Male,676472,62.52,1.81,2.77,Medication,13043,No,94.97,7.59,82643,0.68,21.35
Nigeria,2019,Cholera,Cardiovascular,11.45,8.84,5.71,0-18,Female,227099,55.37,2.16,5.7,Medication,27677,Yes,69.0,6.47,6213,0.68,82.25
Germany,2011,Influenza,Bacterial,18.23,12.71,7.59,19-35,Female,792028,64.05,1.31,6.79,Surgery,46017,No,56.53,8.76,8299,0.58,87.09
Argentina,2011,Cancer,Parasitic,14.88,2.32,8.18,61+,Other,574991,67.77,1.76,5.62,Medication,45845,Yes,71.18,9.79,77994,0.44,55.34
India,2015,Ebola,Cardiovascular,10.22,5.59,0.85,19-35,Other,491353,73.34,3.05,7.37,Vaccination,16926,Yes,73.93,0.67,40141,0.51,36.7
Italy,2008,Diabetes,Viral,7.47,6.64,1.54,61+,Male,159383,59.26,1.93,6.96,Surgery,29122,Yes,86.94,2.58,63315,0.61,77.98
Germany,2019,Alzheimer's Disease,Viral,5.62,10.18,3.65,19-35,Male,140566,99.19,1.61,3.59,Therapy,13165,No,97.84,7.34,62451,0.42,34.59
South Korea,2010,HIV/AIDS,Autoimmune,10.99,4.02,2.0,36-60,Other,191449,90.58,2.39,1.56,Vaccination,42232,No,66.25,7.5,29279,0.52,61.24
Italy,2001,Alzheimer's Disease,Parasitic,11.38,4.56,7.6,36-60,Other,71843,91.14,1.08,0.65,Surgery,49671,Yes,73.77,4.74,41861,0.44,31.46
Saudi Arabia,2019,Cancer,Infectious,18.87,7.76,7.43,19-35,Female,328103,71.68,4.48,3.37,Medication,22604,Yes,80.65,7.63,55024,0.6,41.05
Mexico,2009,Cholera,Parasitic,2.78,3.7,3.34,19-35,Male,590441,98.0,0.95,3.92,Therapy,9623,Yes,91.3,0.22,48432,0.7,70.56
Nigeria,2010,COVID-19,Respiratory,0.31,3.12,2.4,61+,Other,477972,94.33,0.85,5.59,Vaccination,48395,Yes,86.82,6.78,74047,0.57,32.03
Nigeria,2017,Asthma,Infectious,6.08,11.37,4.25,19-35,Female,502080,68.65,1.58,1.09,Vaccination,44336,No,64.17,4.23,42391,0.7,45.64
Mexico,2015,Ebola,Neurological,6.81,14.55,6.6,36-60,Male,545541,92.52,2.51,3.99,Surgery,24198,Yes,61.88,1.5,9904,0.51,67.81
South Africa,2000,Cancer,Neurological,17.14,1.22,9.6,0-18,Other,774165,55.5,1.87,8.33,Medication,41372,Yes,73.48,9.08,83086,0.53,64.55
Japan,2021,Hepatitis,Neurological,5.22,10.38,1.0,61+,Other,160546,93.54,1.1,6.11,Surgery,35820,Yes,96.3,8.07,66185,0.56,87.63
China,2002,Tuberculosis,Cardiovascular,13.07,11.0,5.77,19-35,Female,716055,50.75,1.28,7.38,Vaccination,22531,No,83.27,4.77,9485,0.48,31.72
Canada,2015,Parkinson's Disease,Infectious,7.56,13.02,2.53,36-60,Female,791747,75.71,4.15,4.64,Vaccination,29477,Yes,87.47,6.04,33744,0.8,61.13
South Korea,2010,Cholera,Autoimmune,7.77,8.26,1.3,19-35,Male,294173,70.39,2.15,6.45,Surgery,33305,No,68.0,4.12,4695,0.45,25.16
Indonesia,2024,COVID-19,Neurological,17.64,14.39,7.81,61+,Male,63643,56.14,4.23,6.31,Medication,293,No,93.04,5.52,22509,0.45,61.95
Nigeria,2013,Asthma,Autoimmune,3.64,8.44,6.9,19-35,Other,417234,62.01,1.96,4.91,Therapy,29191,No,53.91,0.62,84246,0.69,73.49
India,2004,Ebola,Chronic,9.18,2.1,8.09,61+,Male,529564,68.86,2.79,5.99,Surgery,39244,No,60.71,5.77,84291,0.5,67.97
Mexico,2002,Alzheimer's Disease,Bacterial,5.95,9.3,6.44,19-35,Male,436128,88.64,2.12,4.61,Vaccination,23084,Yes,65.5,9.4,11333,0.6,68.69
Brazil,2022,HIV/AIDS,Cardiovascular,4.43,9.89,3.76,19-35,Female,391199,53.66,1.2,8.26,Surgery,8439,No,61.67,4.14,71141,0.6,71.15
Nigeria,2008,Asthma,Metabolic,3.15,6.7,4.42,61+,Female,536176,56.55,3.36,0.77,Therapy,3063,Yes,56.89,9.76,19743,0.5,50.51
Australia,2001,Rabies,Chronic,9.49,1.17,1.74,0-18,Female,212851,92.35,1.5,6.37,Surgery,10523,No,85.45,1.99,52552,0.55,86.9
South Africa,2006,Cholera,Metabolic,6.19,13.62,5.42,36-60,Male,297380,67.14,4.77,7.8,Therapy,38343,Yes,94.46,9.82,81492,0.79,30.97
Australia,2004,Polio,Chronic,0.65,13.26,4.89,61+,Female,906247,89.79,4.08,2.12,Medication,48998,No,54.92,3.67,56262,0.76,70.08
India,2001,Hepatitis,Infectious,2.15,7.99,7.59,61+,Other,788412,87.15,2.25,5.57,Medication,7136,No,52.25,3.75,10830,0.62,59.54
Russia,2014,Ebola,Metabolic,11.73,6.08,1.93,36-60,Female,748510,74.34,1.95,2.9,Surgery,5887,Yes,80.6,9.76,77608,0.52,51.63
Canada,2000,Cancer,Infectious,10.0,4.78,6.08,0-18,Male,720439,77.43,2.56,9.27,Medication,7218,Yes,54.0,9.46,77153,0.59,57.12
India,2001,Parkinson's Disease,Metabolic,11.13,2.82,6.65,0-18,Male,600105,68.24,4.51,5.42,Medication,25647,No,65.8,7.79,36310,0.87,46.55
USA,2000,Parkinson's Disease,Neurological,10.16,9.35,4.79,36-60,Female,482850,53.03,4.47,6.79,Medication,47673,No,86.38,8.79,75735,0.87,20.74
Russia,2019,Leprosy,Metabolic,9.28,14.32,6.94,0-18,Male,575364,68.85,4.16,8.27,Surgery,26511,Yes,71.62,9.73,88227,0.69,31.96
Turkey,2015,Parkinson's Disease,Infectious,12.68,10.84,8.05,61+,Male,679151,56.23,2.31,6.86,Vaccination,29792,No,71.48,7.94,23724,0.79,58.57
Australia,2009,Rabies,Viral,17.61,12.97,2.56,61+,Other,299985,99.85,1.82,8.84,Surgery,43832,Yes,73.55,9.43,78570,0.6,54.21
Nigeria,2015,Dengue,Respiratory,18.29,11.18,7.14,0-18,Male,166382,76.41,2.59,1.56,Therapy,29247,Yes,57.98,8.91,9716,0.61,50.87
